    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      85        -844.9902        4368.0864         698.9583         468.8951         604.2238        1023.7559         241.8181        -216.2181        -116.5503
      86        -844.9836        4368.0864         699.9241         406.2155         750.9296         942.6276         303.3806        -147.8726        -210.2206
      87        -844.9870        4368.0864         700.2464         421.9790         716.9741         961.7861         290.1047        -163.7585        -188.3863
      88        -844.9908        4368.0864         701.7866         450.4413         658.6612         996.2573         266.8397        -191.6853        -149.9317
      89        -844.9917        4368.0864         705.2339         485.2570         592.1559        1038.2886         239.3070        -224.6561        -104.3336
      90        -844.9918        4368.0864         705.1807         484.5162         593.6025        1037.4232         239.7823        -223.9985        -105.2477
      91        -844.9918        4368.0864         705.0748         483.0970         596.3871        1035.7402         240.7153        -222.7184        -107.0175
      92        -844.9920        4368.0864         704.9346         481.0940         600.3461        1033.3639         242.0376        -220.9080        -109.5165
      93        -844.9922        4368.0864         704.7708         478.6633         605.1881        1030.4613         243.6590        -218.7045        -112.5750
      94        -844.9923        4368.0864         704.6130         476.0199         610.5422        1027.2766         245.4715        -216.2709        -115.9288
      95        -844.9924        4368.0864         704.4655         473.3872         615.9363        1024.0731         247.3059        -213.8359        -119.2927
      96        -844.9927        4368.0864         704.3650         471.0653         620.8430        1021.1866         249.0171        -211.6406        -122.3206
      97        -844.9929        4368.0864         704.2986         469.0854         625.1546        1018.6557         250.5650        -209.7267        -124.9526
      98        -844.9932        4368.0864         704.2781         467.8354         628.1238        1016.8751         251.7257        -208.4262        -126.7185
      99        -844.9935        4368.0864         704.3176         467.6682         629.0121        1016.2723         252.2706        -208.0707        -127.1517
     100        -844.9940        4368.0864         704.3748         468.8147         627.1954        1017.1142         251.9918        -208.9225        -125.8899
     101        -844.9946        4368.0864         704.3788         471.2458         622.5283        1019.3622         250.8359        -211.0186        -122.8717
     102        -844.9954        4368.0864         704.2160         474.4513         615.7969        1022.3996         249.0415        -213.9832        -118.6178
     103        -844.9962        4368.0864         703.6194         477.0904         609.0167        1024.7515         247.2993        -216.8112        -114.5368
     104        -844.9972        4368.0864         702.3157         477.4374         605.0966        1024.4135         246.6237        -218.1104        -112.5615
     105        -844.9985        4368.0864         700.0830         474.1920         606.1591        1019.8979         247.8667        -216.8727        -114.1429
     106        -845.0001        4368.0864         696.9532         467.7674         611.4988        1011.5936         251.0271        -213.4137        -118.8284
     107        -845.0020        4368.0864         693.3464         461.3456         615.6966        1002.9969         254.4960        -210.2967        -123.0227
     108        -845.0044        4368.0864         689.7907         459.0838         611.5649         998.7234         255.7070        -210.8834        -121.8804
     109        -845.0073        4368.0864         686.3150         461.2201         598.8029         998.9221         253.8549        -215.3822        -115.1975
     110        -845.0107        4368.0864         682.0466         460.5549         590.0930         995.4919         252.6646        -217.8745        -111.3996
     111        -845.0148        4368.0864         675.5831         450.8887         594.3775         981.4832         256.2353        -213.7776        -117.2892
     112        -845.0198        4368.0864         667.3198         442.0689         592.5073         967.3832         260.2148        -211.3916        -120.6808
     113        -845.0258        4368.0864         657.5439         442.2646         568.0943         962.2728         256.9410        -217.8485        -110.5607
     114        -845.0329        4368.0864         644.1532         427.4687         565.1981         939.7928         259.1603        -213.7930        -116.2455
     115        -845.0413        4368.0864         630.2318         417.1613         553.4199         920.1143         264.4662        -213.2655        -117.2299
     116        -845.0511        4368.0864         615.0984         412.8417         526.7235         905.7301         255.4585        -218.7400        -107.2059
     117        -845.0618        4368.0864         593.2222         373.3420         555.9538         850.3708         287.3327        -199.6184        -141.1682
     118        -845.0682        4368.0864         578.7359         436.4993         401.0722         898.6363         205.9092        -255.2082         -39.2530
     119        -845.0755        4368.0864         572.0389         377.8293         503.0320         835.2554         265.5129        -214.2325        -115.9777
     120        -845.0706        4368.0864         573.7585         329.5212         605.2214         786.5328         323.2644        -173.9703        -185.2260
     121        -845.0731        4368.0864         573.4797         342.3631         579.6662         798.4100         309.8894        -183.9682        -168.1153
     122        -845.0759        4368.0864         573.7600         365.1324         536.1481         819.9995         286.4242        -201.1537        -138.1093
     123        -845.0765        4368.0864         575.3352         392.1334         487.2958         846.5764         258.7163        -220.7513        -102.8903
     124        -845.0765        4368.0864         575.3012         391.4060         488.5797         845.9180         259.3013        -220.2591        -103.7395
     125        -845.0766        4368.0864         575.2353         389.9905         491.0522         844.6632         260.4264        -219.3107        -105.3786
     126        -845.0767        4368.0864         575.1508         387.9990         494.5699         842.8835         262.0278        -217.9683        -107.7013
     127        -845.0768        4368.0864         575.0683         385.6027         498.8853         840.7168         263.9877        -216.3203        -110.5366
     128        -845.0769        4368.0864         574.9804         382.9754         503.6336         838.3322         266.1492        -214.5110        -113.6490
     129        -845.0771        4368.0864         574.9131         380.4019         508.3886         835.9489         268.3315        -212.6996        -116.7345
     130        -845.0773        4368.0864         574.8704         378.1414         512.6739         833.7958         270.2986        -211.0782        -119.4910
     131        -845.0774        4368.0864         574.8474         376.2743         516.3551         831.9126         272.0104        -209.6842        -121.8223
     132        -845.0775        4368.0864         574.8582         375.1842         518.8093         830.5811         273.1865        -208.7620        -123.3113
     133        -845.0778        4368.0864         574.8596         375.1546         519.3880         830.0362         273.5403        -208.5511        -123.5577
     134        -845.0781        4368.0864         574.8470         376.4386         517.6518         830.4506         272.8543        -209.2174        -122.2560
     135        -845.0785        4368.0864         574.7651         378.9857         513.5563         831.7532         271.0802        -210.7728        -119.4069
     136        -845.0790        4368.0864         574.5084         382.2103         507.9018         833.4129         268.5575        -212.8895        -115.5462
     137        -845.0796        4368.0864         573.8743         384.6996         502.6339         834.2894         266.2106        -214.7952        -112.0079
     138        -845.0803        4368.0864         572.6980         384.8574         500.2867         832.9498         265.2465        -215.4658        -110.5840
     139        -845.0812        4368.0864         570.8604         381.6617         502.4459         828.4734         266.5770        -214.2309        -112.4459
     140        -845.0822        4368.0864         568.4081         375.7765         508.0966         821.3513         270.0000        -211.4234        -116.9523
     141        -845.0835        4368.0864         565.6190         370.4912         512.0641         814.3016         273.3029        -209.0285        -120.5758
     142        -845.0851        4368.0864         562.8380         369.5824         508.5309         810.4007         273.4852        -209.4344        -119.1419
     143        -845.0870        4368.0864         560.0945         372.5189         498.6685         809.0964         270.2408        -212.4182        -113.0795
     144        -845.0894        4368.0864         556.8655         371.9274         494.5876         804.0814         268.7857        -213.3445        -110.5232
