,gas,label,index,energy
233,C2I2F4,ADDIonADDI,9,-0.6522421388457
234,C2I2F4,ADDIonADDI,mean,-0.24678213884570005
235,C2I2F4,ADDIonADDI,min,-1.1136421388457
236,C2I2F4,ADDIonADDI,max,1.5821578611543
237,C2I2F4,ADDIonADDI,range,2.6958
238,C2I2F4,HFonADDI,0,-0.23741658018669
239,C2I2F4,HFonADDI,1,-0.24251658018669
240,C2I2F4,HFonADDI,2,-0.25031658018669
241,C2I2F4,HFonADDI,3,-0.31931658018669
242,C2I2F4,HFonADDI,4,-0.28781658018669
243,C2I2F4,HFonADDI,5,-0.25341658018669
244,C2I2F4,HFonADDI,6,-0.06201658018669
245,C2I2F4,HFonADDI,7,-0.26691658018669
246,C2I2F4,HFonADDI,8,-0.26791658018669
247,C2I2F4,HFonADDI,9,-0.26751658018669
248,C2I2F4,HFonADDI,mean,-0.24551658018669
249,C2I2F4,HFonADDI,min,-0.31931658018669
250,C2I2F4,HFonADDI,max,-0.06201658018669
251,C2I2F4,HFonADDI,range,0.25730000000000003
252,C2I2F4,ADDIonHF,0,-0.2847421388457
253,C2I2F4,ADDIonHF,1,0.2115578611543
254,C2I2F4,ADDIonHF,2,-0.2132421388457
255,C2I2F4,ADDIonHF,3,-0.0631421388457
256,C2I2F4,ADDIonHF,4,-0.3547421388457
257,C2I2F4,ADDIonHF,5,-0.4100421388457
258,C2I2F4,ADDIonHF,6,-0.3782421388457
259,C2I2F4,ADDIonHF,7,-0.3017421388457
260,C2I2F4,ADDIonHF,8,1.1686578611543
261,C2I2F4,ADDIonHF,9,-0.3866421388457
262,C2I2F4,ADDIonHF,mean,-0.1012321388457
263,C2I2F4,ADDIonHF,min,-0.4100421388457
264,C2I2F4,ADDIonHF,max,1.1686578611543
265,C2I2F4,ADDIonHF,range,1.5787
266,C2I2F4,bareSurface,0,-0.5357421388457
267,C2I2F4,bareSurface,1,-0.4756421388457
268,C2I2F4,bareSurface,2,-0.5720421388457
269,C2I2F4,bareSurface,3,-0.5638421388457
270,C2I2F4,bareSurface,4,-0.6187421388457
271,C2I2F4,bareSurface,5,6.2594578611543
272,C2I2F4,bareSurface,6,-0.5687421388457
273,C2I2F4,bareSurface,7,-0.6663421388457
274,C2I2F4,bareSurface,8,-0.5943421388457
275,C2I2F4,bareSurface,mean,0.18489119448763341
276,C2I2F4,bareSurface,min,-0.6663421388457
277,C2I2F4,bareSurface,max,6.2594578611543
278,C2I2F4,bareSurface,range,6.925800000000001
279,C2IF5,ADDIonADDI,0,-0.219102656645
280,C2IF5,ADDIonADDI,1,-0.421202656645
281,C2IF5,ADDIonADDI,2,-0.277002656645
282,C2IF5,ADDIonADDI,3,-0.226602656645
283,C2IF5,ADDIonADDI,4,-0.262402656645
284,C2IF5,ADDIonADDI,5,-0.437402656645
285,C2IF5,ADDIonADDI,6,-0.251102656645
286,C2IF5,ADDIonADDI,7,-0.260002656645
287,C2IF5,ADDIonADDI,8,-0.174402656645
288,C2IF5,ADDIonADDI,9,-0.271402656645
289,C2IF5,ADDIonADDI,mean,-0.28006265664499996
290,C2IF5,ADDIonADDI,min,-0.437402656645
291,C2IF5,ADDIonADDI,max,-0.174402656645
292,C2IF5,ADDIonADDI,range,0.263
293,C2IF5,HFonADDI,0,-0.11441658018669
294,C2IF5,HFonADDI,1,-0.26341658018669
295,C2IF5,HFonADDI,2,-0.25101658018669
296,C2IF5,HFonADDI,3,-0.27211658018669
