    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      88        -721.1233        3528.0932        1021.0174         970.7698         950.5067        1141.7759          12.9630         -73.7642         -22.8099
      89        -721.1284        3528.0932        1006.0930         964.0920         944.4288        1109.7582          13.2037         -68.5174         -22.9756
      90        -721.1346        3528.0932         987.7290         954.9293         938.0860        1070.1716          14.1368         -63.5926         -23.4077
      91        -721.1420        3528.0932         965.4937         944.4514         933.8690        1018.1608          15.6815         -60.6690         -25.5713
      92        -721.1508        3528.0932         937.3547         933.3139         918.5110         960.2391          12.6476         -54.3677         -29.5097
      93        -721.1609        3528.0932         904.9951         915.7905         918.8866         880.3082          16.7652         -62.3704         -32.1370
      94        -721.1702        3528.0932         862.3757         900.1769         865.2932         821.6572          -2.0051         -24.1591         -36.5559
      95        -721.1600        3528.0932         840.4129         889.9495         962.3492         668.9401          48.8911        -125.5625         -30.7328
      96        -721.1868        3528.0932         811.7078         853.8224         855.3417         725.9592           3.6732         -41.6040         -37.4399
      97        -721.1870        3528.0932         813.5869         859.2734         859.7264         721.7610           5.4614         -42.4573         -37.1736
      98        -721.1873        3528.0932         817.1719         869.1147         867.5894         714.8115           8.5583         -43.8128         -36.7284
      99        -721.1875        3528.0932         822.0820         881.1265         877.2332         707.8865          11.9349         -45.0664         -36.2597
     100        -721.1877        3528.0932         827.3001         891.7881         885.8163         704.2958          14.3232         -45.5248         -36.0156
     101        -721.1882        3528.0932         831.7873         898.6440         891.1967         705.5211          14.9593         -44.8840         -36.1163
     102        -721.1887        3528.0932         834.7065         900.4524         892.5761         711.0908          13.8228         -43.2000         -36.5620
     103        -721.1893        3528.0932         835.5821         897.7513         890.2418         718.7534          11.4615         -40.8294         -37.2423
     104        -721.1901        3528.0932         833.7220         891.3140         884.8249         725.0272           8.7422         -38.2459         -38.0688
     105        -721.1909        3528.0932         828.7966         884.4247         878.7698         723.1953           7.4954         -36.7133         -38.7520
     106        -721.1921        3528.0932         821.1089         880.0388         874.4625         708.8254           8.9103         -37.1590         -39.0553
     107        -721.1935        3528.0932         811.8383         879.0692         872.8879         683.5579          12.4378         -39.3134         -39.0882
     108        -721.1952        3528.0932         803.0794         876.6639         871.5242         661.0502          14.4226         -40.8207         -39.5019
     109        -721.1973        3528.0932         796.6270         867.7546         867.5659         654.5602          12.0102         -39.5746         -40.7873
     110        -721.2000        3528.0932         793.5613         858.6779         864.9847         657.0212           8.4530         -37.2502         -42.4171
     111        -721.2032        3528.0932         790.3703         863.7285         870.0117         637.3707          10.9682         -38.9618         -43.0623
     112        -721.2072        3528.0932         780.1341         870.0966         871.6562         598.6496          14.6062         -40.4924         -43.5081
     113        -721.2120        3528.0932         760.6832         843.7812         852.3219         585.9465           8.4336         -33.6798         -46.1125
     114        -721.2179        3528.0932         740.7630         837.8114         843.6443         540.8334          12.3587         -35.8503         -47.2321
     115        -721.2251        3528.0932         726.5074         835.9318         846.9948         496.5958           8.8067         -31.6793         -49.5749
     116        -721.2339        3528.0932         707.1765         804.4319         828.4798         488.6178          14.4007         -35.8242         -52.2410
     117        -721.2433        3528.0932         661.7715         850.0007         864.8857         270.4279          -5.5961         -12.3653         -52.3765
     118        -721.2377        3528.0932         655.0833         551.6752         646.5061         767.0687          68.6497         -97.1222         -63.2737
     119        -721.2563        3528.0932         625.6712         807.8668         833.3444         235.8024          -2.5874          -6.3796         -52.3411
     120        -721.2570        3528.0932         628.2689         796.7336         825.0146         263.0582           1.8323         -11.9518         -53.5464
