    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      99       -1002.8545        4466.5536        1405.7125        1808.2484        1654.4275         754.4620          78.6639        -273.2470        -601.8354
     100       -1002.8587        4466.5536        1407.3217        1810.4805        1659.1980         752.2866          77.6093        -270.1215        -598.9304
     101       -1002.8640        4466.5536        1402.5372        1804.1285        1658.6565         744.8268          80.2829        -273.2409        -597.9720
     102       -1002.8701        4466.5536        1396.8385        1795.7305        1657.4037         737.3816          83.7256        -280.1165        -597.2962
     103       -1002.8775        4466.5536        1397.3409        1797.5209        1663.7155         730.7865          82.0130        -277.5916        -592.9555
     104       -1002.8864        4466.5536        1389.4019        1789.5740        1663.9022         714.7297          82.7597        -279.4444        -589.5521
     105       -1002.8967        4466.5536        1382.3441        1776.9900        1663.5245         706.5176          87.4658        -295.3438        -589.1316
     106       -1002.9087        4466.5536        1384.5729        1788.0092        1682.5613         683.1484          83.9672        -272.2287        -578.3275
     107       -1002.9213        4466.5536        1356.9594        1726.6223        1649.8939         694.3621          94.9883        -361.6407        -586.9177
     108       -1002.9271        4466.5536        1392.0072        1838.0304        1762.9113         575.0800          97.3359        -118.0519        -553.7242
     109       -1002.9383        4466.5536        1359.7692        1746.0404        1679.8212         653.4458          84.8511        -312.1720        -566.5612
     110       -1002.9306        4466.5536        1338.3685        1667.9033        1622.7510         724.4512          90.8564        -470.7101        -587.9291
     111       -1002.9344        4466.5536        1342.2596        1686.2808        1637.2831         703.2150          92.6400        -428.0093        -584.2428
     112       -1002.9387        4466.5536        1350.6957        1719.4780        1664.5337         668.0753          95.7538        -353.4642        -577.8524
     113       -1002.9394        4466.5536        1363.4073        1760.3544        1699.4342         630.4335          98.9263        -267.0161        -570.0266
     114       -1002.9395        4466.5536        1363.2994        1759.6157        1698.6245         631.6583          98.5112        -269.4873        -570.0277
     115       -1002.9396        4466.5536        1363.0792        1758.1641        1697.0488         634.0248          97.7058        -274.2643        -570.0413
     116       -1002.9398        4466.5536        1362.7845        1756.1118        1694.8641         637.3774          96.5867        -281.0082        -570.0566
     117       -1002.9399        4466.5536        1362.4434        1753.6223        1692.2434         641.4643          95.2631        -289.2030        -570.0934
     118       -1002.9401        4466.5536        1362.0892        1750.8793        1689.4441         645.9446          93.8774        -298.1499        -570.1508
     119       -1002.9402        4466.5536        1361.7810        1748.1742        1686.7937         650.3752          92.5885        -306.9504        -570.2444
     120       -1002.9404        4466.5536        1361.5532        1745.7942        1684.6196         654.2459          91.5919        -314.6042        -570.3728
     121       -1002.9407        4466.5536        1361.4175        1743.8307        1683.0529         657.3690          90.9649        -320.8104        -570.5546
     122       -1002.9408        4466.5536        1361.4089        1742.6168        1682.4678         659.1423          90.8848        -324.4216        -570.7733
     123       -1002.9410        4466.5536        1361.5763        1742.5034        1683.1857         659.0400          91.4816        -324.4225        -570.9979
     124       -1002.9415        4466.5536        1361.9388        1743.7145        1685.4307         656.6715          92.7793        -320.1448        -571.1537
     125       -1002.9420        4466.5536        1362.5294        1746.2894        1689.1610         652.1379          94.6119        -311.7465        -571.1279
     126       -1002.9426        4466.5536        1363.2477        1749.7164        1693.6964         646.3304          96.4423        -301.1132        -570.7603
     127       -1002.9433        4466.5536        1363.8292        1752.6660        1697.5508         641.2709          97.4161        -292.4426        -569.9417
