    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      85        -729.7586        3528.0932         459.8893         787.7496        1248.0333        -656.1150         -25.6186          62.7943          51.5313
      86        -729.7587        3528.0932         459.3769         787.8856        1247.3940        -657.1489         -25.7488          63.6673          51.5172
      87        -729.7588        3528.0932         458.4166         788.0219        1246.2101        -658.9822         -25.9110          65.1977          51.4577
      88        -729.7590        3528.0932         457.2031         788.1215        1244.7428        -661.2550         -26.0675          67.0702          51.4020
      89        -729.7592        3528.0932         456.0675         788.1786        1243.3971        -663.3731         -26.2702          68.7060          51.4182
      90        -729.7594        3528.0932         455.5241         788.2013        1242.7457        -664.3748         -26.5738          69.4430          51.5535
      91        -729.7596        3528.0932         455.7071         788.1005        1243.0511        -664.0302         -26.9661          68.8803          51.8188
      92        -729.7600        3528.0932         456.3141         787.9200        1243.9199        -662.8975         -27.4193          67.5609          52.1787
      93        -729.7604        3528.0932         456.2308         787.6160        1244.1263        -663.0499         -27.8514          67.0223          52.6092
      94        -729.7609        3528.0932         454.5578         787.2931        1242.4596        -666.0793         -28.1537          68.7995          53.0674
      95        -729.7616        3528.0932         451.8036         786.8323        1239.6420        -671.0637         -28.4563          72.0897          53.5995
      96        -729.7623        3528.0932         450.2181         786.3342        1238.4127        -674.0926         -28.9591          73.5219          54.4115
      97        -729.7632        3528.0932         450.3954         785.9712        1239.5741        -674.3589         -29.7215          72.4685          55.4134
      98        -729.7643        3528.0932         448.3448         785.7037        1238.2721        -678.9413         -30.6495          75.0955          56.5237
      99        -729.7657        3528.0932         444.3492         786.1766        1235.0356        -688.1647         -31.5067          81.4535          57.7786
     100        -729.7674        3528.0932         444.5648         786.8099        1237.5095        -690.6252         -32.7904          81.7304          59.2106
     101        -729.7695        3528.0932         438.3753         786.9423        1232.5676        -704.3839         -35.4615          91.4196          61.9390
     102        -729.7722        3528.0932         435.6007         786.3323        1232.6499        -712.1802         -38.7816          94.8785          65.5973
     103        -729.7758        3528.0932         417.9241         783.5314        1215.2360        -744.9952         -45.8807         119.0206          73.8395
     104        -729.7802        3528.0932         435.2301         781.2001        1244.0995        -719.6093         -46.8217          89.2578          75.4333
     105        -729.7819        3528.0932         295.7534         764.3279        1072.3134        -949.3812         -95.6178         287.7284         129.9496
     106        -729.7871        3528.0932         408.8691         775.3448        1219.5399        -768.2775         -59.5405         123.5695          90.1274
     107        -729.7872        3528.0932         403.4267         774.9287        1212.4803        -777.1289         -61.4301         131.5531          92.1790
     108        -729.7874        3528.0932         394.3338         774.1545        1200.7612        -791.9143         -64.6209         144.8409          95.7005
     109        -729.7876        3528.0932         384.8922         773.3370        1188.6949        -807.3552         -68.0552         158.6242          99.4326
     110        -729.7879        3528.0932         378.7562         772.7356        1181.1041        -817.5712         -70.5065         167.5739         102.1115
     111        -729.7882        3528.0932         377.6740         772.5281        1180.2826        -819.7887         -71.3457         169.1237         103.0223
     112        -729.7887        3528.0932         381.3822         772.6795        1185.8695        -814.4023         -70.6315         163.6218         102.2397
     113        -729.7892        3528.0932         387.5647         772.9423        1194.8059        -805.0542         -69.0960         154.3395         100.5525
     114        -729.7898        3528.0932         392.7323         772.9253        1202.6526        -797.3809         -67.9375         146.2330          99.3361
     115        -729.7906        3528.0932         391.4615         772.0308        1202.3997        -800.0458         -69.0104         147.0092         100.5973
     116        -729.7917        3528.0932         381.4209         769.8596        1191.0975        -816.6946         -73.1683         159.8977         105.3226
     117        -729.7930        3528.0932         367.5808         766.8143        1175.3446        -839.4166         -78.7947         177.6252         111.8324
     118        -729.7947        3528.0932         361.3279         764.0671        1170.0420        -850.1254         -81.9339         183.8302         115.6459
     119        -729.7970        3528.0932         365.5004         762.3404        1178.7271        -844.5662         -81.2889         174.6591         115.5024
     120        -729.7999        3528.0932         362.5850         759.7172        1178.6853        -850.6476         -83.3326         175.3161         118.3860
     121        -729.8036        3528.0932         341.1705         754.3026        1155.3610        -886.1522         -92.5539         201.5183         129.3872
     122        -729.8085        3528.0932         332.0058         750.4581        1148.1713        -902.6120         -96.9781         209.8616         135.0168
     123        -729.8149        3528.0932         337.2684         748.8997        1161.0638        -898.1583         -95.5484         197.4439         133.8325
     124        -729.8226        3528.0932         308.7108         741.0534        1132.7548        -947.6758        -108.6904         229.7588         148.1822
     125        -729.8311        3528.0932         352.5056         747.1697        1194.9120        -884.5648         -85.0952         160.1031         120.8156
     126        -729.8372        3528.0932         289.6723         723.6859        1129.5452        -984.2142        -110.7671         222.5599         150.2273
     127        -729.8314        3528.0932         523.9055         776.8990        1425.5986        -630.7812          31.3764        -113.8090          -6.6810
     128        -729.8434        3528.0932         366.6956         729.8823        1239.4515        -869.2468         -58.2536          89.8038          93.8095
     129        -729.8435        3528.0932         370.2988         731.0586        1243.7450        -863.9071         -56.2640          85.2746          91.5296
     130        -729.8438        3528.0932         376.6431         733.1158        1251.3105        -854.4971         -52.7459          77.3523          87.5604
     131        -729.8439        3528.0932         384.0565         735.5961        1260.1526        -843.5791         -48.6995          68.2632          82.9467
     132        -729.8441        3528.0932         390.3205         737.8986        1267.5753        -834.5125         -45.3823          60.9850          79.1965
     133        -729.8443        3528.0932         393.6283         739.5564        1271.4260        -830.0976         -43.8596          57.8846          77.4804
     134        -729.8446        3528.0932         393.4018         740.3820        1270.9769        -831.1536         -44.4340          59.8047          78.1471
     135        -729.8448        3528.0932         390.4397         740.7278        1267.1038        -836.5126         -46.6891          65.8498          80.7144
     136        -729.8452        3528.0932         386.2881         741.4213        1261.4819        -844.0391         -49.8071          74.5184          84.3054
     137        -729.8455        3528.0932         384.9817         744.0454        1258.6583        -847.7587         -51.6022          81.0640          86.4045
     138        -729.8458        3528.0932         389.8861         749.7648        1262.5721        -842.6784         -50.2021          81.3410          84.8549
     139        -729.8461        3528.0932         401.2730         759.0879        1273.1840        -828.4529         -45.6127          75.5447          79.6460
     140        -729.8464        3528.0932         412.1136         770.0413        1282.0703        -815.7707         -42.0613          72.9590          75.3874
