    step           PotEng           volume            press             p_xx             p_yy             p_zz             p_xy             p_yz             p_zx
      93       -1012.5918        4928.2438         637.5522         540.7892        1045.0894         326.7779        -134.0296         181.5375         -98.6743
      94       -1012.5931        4928.2438         657.0804         577.5890        1057.0367         336.6156        -110.5776         169.9704        -117.5403
      95       -1012.5936        4928.2438         681.7042         623.8748        1072.1986         349.0389         -81.0852         155.4241        -141.2510
      96       -1012.5936        4928.2438         681.5276         623.5350        1072.0854         348.9626         -81.3071         155.5319        -141.0915
      97       -1012.5936        4928.2438         681.1777         622.8669        1071.8706         348.7956         -81.7350         155.7368        -140.7811
      98       -1012.5936        4928.2438         680.6934         621.9282        1071.5676         348.5845         -82.3478         156.0347        -140.3335
      99       -1012.5936        4928.2438         680.0929         620.7766        1071.1904         348.3116         -83.0903         156.3938        -139.7970
     100       -1012.5938        4928.2438         679.4352         619.5047        1070.7761         348.0250         -83.9229         156.7957        -139.2047
     101       -1012.5938        4928.2438         678.7709         618.2047        1070.3591         347.7492         -84.7791         157.2069        -138.6105
     102       -1012.5938        4928.2438         678.1467         616.9815        1069.9690         347.4896         -85.5880         157.5941        -138.0739
     103       -1012.5939        4928.2438         677.5760         615.8443        1069.5991         347.2848         -86.3569         157.9600        -137.5925
     104       -1012.5940        4928.2438         677.1468         614.9517        1069.3275         347.1610         -86.9742         158.2533        -137.2651
     105       -1012.5941        4928.2438         676.9490         614.4850        1069.1846         347.1776         -87.3313         158.4170        -137.1877
     106       -1012.5942        4928.2438         677.0901         614.6261        1069.2611         347.3830         -87.3224         158.3969        -137.4534
     107       -1012.5944        4928.2438         677.5986         615.4377        1069.5624         347.7957         -86.8952         158.1732        -138.0951
     108       -1012.5946        4928.2438         678.4207         616.8106        1070.0627         348.3886         -86.1315         157.7926        -139.0783
     109       -1012.5948        4928.2438         679.3392         618.3326        1070.6228         349.0622         -85.2969         157.3821        -140.1825
     110       -1012.5951        4928.2438         679.9692         619.2941        1070.9939         349.6196         -84.8599         157.1781        -141.0763
